region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
NULL,Pennsylvania,40.7018837,40.6129368,-75.4621914,-75.5461159,40.650351857395478,-75.495835135312745,985.15,7673,98.722846850780485,84.8407784166298,39701,113097,83193,87582,203964,32,527537,8,131884.25,10025161.923889151,35149705.812774681,23041857.928973392,24541876.907128964,59927475.29608155,9215.5393798828118,152686077.868848,"[[0,2009],[5,2674],[10,1358],[15,696],[20,286],[25,107],[30,53],[35,34],[40,41],[45,54],[50,42],[55,23],[60,23],[65,19],[70,13],[75,20],[80,16],[85,11],[90,9],[95,11],[100,11],[105,7],[110,10],[115,6],[120,9],[125,10],[130,5],[135,6],[140,6],[145,2],[150,6],[155,4],[160,3],[165,5],[170,3],[175,3],[180,2],[185,2],[190,2],[200,4],[205,1],[210,2],[215,1],[220,2],[225,2],[235,1],[240,1],[245,2],[255,1],[260,2],[265,3],[270,2],[275,2],[280,2],[300,1],[315,2],[320,1],[325,1],[335,1],[340,1],[355,1],[365,3],[385,1],[390,1],[405,1],[435,1],[450,1],[480,1],[485,1],[500,1],[550,2],[555,1],[565,1],[600,1],[620,1],[625,1],[630,1],[645,1],[705,1],[730,1],[755,1],[990,1],[995,10],[1000,2]]",97025.991470505571,11
NULL,NULL,32.5515615,32.5422575,-116.9198116,-117.0300775,32.5484486,-116.95673556666665,1300.5,2,100,66.666666666666671,13,18,0,0,0,13,31,3.25,7.75,4745.5593383789064,7692.0783203124993,0,0,0,5209.4646850585932,12437.637658691405,"[[0,2]]",0,0
Aberdeen,North Carolina,35.1839589,35.0536054,-79.3884822,-79.5383465,35.143597412700238,-79.424746976659151,1083.75,1078,86.098398169336377,71.627906976744185,3248,16681,13821,12775,92404,38,138929,9.5,34732.25,916858.47884521482,5550470.6194885289,4255420.6720458958,3855700.9203796373,30274565.861474603,11665.3833984375,44853016.552233852,"[[0,250],[5,308],[10,181],[15,82],[20,35],[25,21],[30,24],[35,17],[40,14],[45,18],[50,11],[55,14],[60,9],[65,9],[70,2],[75,4],[80,2],[85,6],[90,2],[95,5],[100,5],[105,3],[110,3],[120,3],[125,1],[130,2],[135,1],[140,6],[145,3],[150,1],[155,2],[165,1],[170,1],[175,1],[180,1],[185,4],[190,1],[195,1],[200,1],[220,1],[290,1],[300,1],[335,1],[345,1],[350,1],[355,1],[365,1],[395,1],[400,2],[430,1],[530,1],[545,1],[780,1],[790,1],[890,1],[930,1],[975,1],[995,3],[1000,1]]",26330.80620508502,0
Abilene,Texas,32.614325,32.2366556,-99.5895826,-100.0864362,32.435015730363716,-99.750682990244911,1252.4114468665,42802,97.8750749721532,93.6750415827716,172303,586619,403010,557991,1718095,42,3438018,10.5,859504.5,56039758.611364439,234357864.73204929,140018526.37719688,203549676.29728386,643813662.51457572,15695.829394531249,1277779488.5324724,"[[0,5788],[5,13535],[10,10456],[15,5265],[20,2535],[25,1179],[30,615],[35,458],[40,376],[45,279],[50,247],[55,183],[60,159],[65,143],[70,141],[75,92],[80,88],[85,71],[90,83],[95,62],[100,71],[105,64],[110,49],[115,39],[120,36],[125,44],[130,37],[135,23],[140,24],[145,27],[150,27],[155,20],[160,19],[165,26],[170,24],[175,11],[180,18],[185,17],[190,13],[195,14],[200,11],[205,6],[210,13],[215,14],[220,10],[225,13],[230,13],[235,7],[240,7],[245,10],[250,5],[255,6],[260,7],[265,12],[270,5],[275,2],[280,9],[285,4],[290,8],[295,10],[300,5],[305,3],[310,4],[315,5],[320,10],[325,5],[330,5],[335,4],[340,1],[345,5],[350,1],[355,4],[360,5],[365,5],[370,6],[375,4],[380,3],[385,1],[395,2],[400,4],[405,3],[410,5],[415,2],[420,5],[425,4],[430,3],[435,7],[440,3],[445,3],[455,7],[465,3],[470,5],[475,1],[480,5],[485,1],[490,3],[495,3],[500,2],[505,2],[510,1],[515,5],[520,4],[525,3],[535,1],[540,1],[545,5],[550,1],[560,1],[565,1],[570,1],[580,1],[590,1],[600,1],[605,2],[615,3],[630,2],[635,2],[640,2],[650,2],[655,4],[660,1],[670,1],[680,1],[695,1],[710,1],[715,1],[720,1],[725,1],[730,1],[740,1],[745,1],[750,1],[755,1],[760,1],[765,1],[770,2],[790,1],[795,1],[800,1],[865,1],[880,1],[885,1],[895,1],[910,1],[915,1],[920,2],[925,2],[935,1],[940,1],[960,1],[970,1],[995,30],[1000,15]]",621366.84940092952,25
Abington,Massachusetts,42.1471244,42.0881069,-70.9186764,-71.0017435,42.116699975937777,-70.954329796867555,974.09163195758936,3285,99.221867517956909,66.056706213553184,2145,45350,22624,25400,80334,24,175853,6,43963.25,532657.18153686542,13270138.522131348,5996178.43424683,6785505.7464599637,23022044.797216795,6551.26708984375,49606524.681591757,"[[0,1270],[5,1351],[10,333],[15,80],[20,33],[25,29],[30,18],[35,23],[40,20],[45,14],[50,11],[55,6],[60,6],[65,7],[70,6],[75,5],[80,5],[85,4],[90,1],[95,3],[100,5],[105,1],[110,2],[115,1],[120,1],[125,2],[130,2],[135,3],[145,1],[155,1],[165,2],[175,2],[185,1],[190,2],[195,1],[200,2],[215,1],[225,1],[230,1],[245,1],[260,1],[275,1],[285,2],[290,1],[305,1],[350,1],[390,1],[420,1],[460,1],[475,1],[495,1],[555,1],[560,1],[680,1],[735,1],[750,1],[995,2],[1000,2]]",21479.144106661955,107
Abington,Pennsylvania,40.1410256,40.1052898,-75.0981394,-75.1547889,40.127027143424485,-75.129703115572212,995.22587668795109,4290,99.0245601811531,75.461741424802113,10359,44351,35781,15700,64278,23,170469,5.75,42617.25,2670869.2428649906,13240559.979748547,10368669.09589844,4208537.3657531729,18819480.075994864,6588.53759765625,49308115.760260113,"[[0,1654],[5,1801],[10,532],[15,140],[20,46],[25,21],[30,17],[35,15],[40,7],[45,3],[50,3],[55,3],[60,4],[65,5],[75,2],[80,4],[90,1],[95,2],[100,2],[110,2],[120,2],[125,2],[130,3],[150,2],[160,2],[180,1],[185,1],[190,1],[210,1],[215,1],[230,1],[255,1],[270,1],[280,2],[295,1],[310,1],[330,1],[345,1],[465,1],[475,1],[520,1],[585,1],[600,1],[610,1],[670,1],[925,1],[995,1]]",31333.366381256725,26
Absecon,New Jersey,39.4496841,39.3928959,-74.4775427,-74.5285221,39.430349009787015,-74.501734616208751,1045.5,500,21.827724606359986,70.721357850070717,527,5957,5536,3818,15381,24,31219,6,7804.75,140934.46260375978,1924599.9582458495,1659082.1823425284,1082517.197125244,4752902.4905578606,7158.890814208984,9560036.2908752412,"[[0,197],[5,181],[10,63],[15,18],[20,11],[25,2],[30,3],[35,1],[40,1],[50,4],[55,1],[60,3],[65,3],[75,1],[80,1],[90,1],[95,1],[115,1],[120,1],[140,1],[175,1],[210,1],[645,1],[910,1],[995,1]]",6075.0266989826223,17
Acampo,California,38.2414834,38.1496184,-121.1105761,-121.4184786,38.202210063756034,-121.22043292786297,1227.3999999999999,426,11.496270293988591,81.297709923664115,2553,8748,4793,6728,24105,44,46927,11,11731.75,810340.8236816409,3371185.7102355966,1649035.1674011224,2355773.2669006344,8871234.3421752937,16178.506542968749,17057569.3103943,"[[0,88],[5,104],[10,64],[15,48],[20,36],[25,19],[30,14],[35,10],[40,3],[45,4],[50,4],[55,3],[60,1],[65,4],[70,3],[75,1],[80,1],[85,1],[90,1],[105,2],[110,1],[150,1],[160,1],[170,2],[185,1],[195,1],[200,1],[240,1],[330,1],[450,1],[465,1],[620,1],[680,1],[1000,1]]",4650.4225727269377,13
Acushnet,Massachusetts,41.7630867,41.6646827,-70.8585169,-70.9427817,41.702208948548517,-70.9070669834054,997.05,3237,98.396880415944537,71.268163804491408,2140,39480,23053,26786,25553,25,117012,6.25,29253,547902.196435547,11950410.570239238,6256051.2071044929,7283917.6898193341,7412140.2927490212,7235.09375,33450421.956347726,"[[0,1080],[5,1402],[10,472],[15,147],[20,39],[25,31],[30,14],[35,9],[40,11],[45,4],[50,6],[55,1],[60,1],[65,3],[70,1],[75,1],[80,3],[85,2],[95,1],[105,1],[135,1],[175,1],[195,2],[200,1],[460,1],[825,1],[995,1]]",14483.708307340032,15
Acworth,Georgia,34.1474989,33.9663216,-84.5546299,-84.7897042,34.0607110074664,-84.66582161406474,1074.3815421420679,12899,69.226141019396607,53.385481334326627,27227,153743,53374,82395,191139,20,507878,5,126969.5,7780035.767584227,50009687.408892937,15928575.655969262,25267193.900305174,62810679.48247683,6147.7688110351564,161796172.21522847,"[[0,6461],[5,4439],[10,1074],[15,354],[20,154],[25,92],[30,49],[35,30],[40,20],[45,19],[50,15],[55,10],[60,12],[65,16],[70,14],[75,9],[80,6],[85,3],[90,10],[95,5],[100,4],[105,6],[110,3],[115,4],[120,1],[125,5],[130,5],[135,5],[140,1],[145,3],[150,4],[155,3],[160,1],[170,4],[175,2],[180,1],[185,1],[195,2],[200,2],[205,2],[220,1],[230,1],[235,1],[255,2],[270,3],[275,2],[290,1],[345,1],[350,1],[365,1],[390,1],[455,1],[500,1],[510,1],[515,1],[535,1],[565,1],[575,1],[620,1],[650,1],[675,1],[715,1],[725,1],[765,1],[805,1],[815,1],[840,1],[870,1],[890,1],[910,1],[940,1],[955,1],[975,1],[990,1],[995,8],[1000,2]]",96201.751604798614,6
